DMA,Immigration: (11/8/16 - 11/8/17)
Miami-Ft. Lauderdale FL,100
New York NY,91
Monterey-Salinas CA,91
Los Angeles CA,89
Washington DC (Hagerstown MD),86
Harlingen-Weslaco-Brownsville-McAllen TX,82
Fresno-Visalia CA,81
San Francisco-Oakland-San Jose CA,80
San Diego CA,77
West Palm Beach-Ft. Pierce FL,77
El Paso TX,76
Yakima-Pasco-Richland-Kennewick WA,73
Santa Barbara-Santa Maria-San Luis Obispo CA,73
Ft. Myers-Naples FL,72
Boston MA-Manchester NH,72
Houston TX,71
Bakersfield CA,69
Laredo TX,69
Austin TX,68
Yuma AZ-El Centro CA,67
Hartford & New Haven CT,66
Sacramento-Stockton-Modesto CA,66
Las Vegas NV,66
Chicago IL,65
Seattle-Tacoma WA,64
Tucson (Sierra Vista) AZ,62
Palm Springs CA,62
Denver CO,62
Portland OR,62
Springfield-Holyoke MA,62
Twin Falls ID,61
Philadelphia PA,60
San Antonio TX,60
Reno NV,60
Dallas-Ft. Worth TX,59
Baltimore MD,59
Harrisonburg VA,59
Waco-Temple-Bryan TX,56
Minneapolis-St. Paul MN,56
Orlando-Daytona Beach-Melbourne FL,56
Eureka CA,55
Albuquerque-Santa Fe NM,55
Raleigh-Durham (Fayetteville) NC,55
Providence RI-New Bedford MA,55
Lafayette IN,54
Sioux City IA,54
Odessa-Midland TX,54
Phoenix AZ,54
Mankato MN,53
Greensboro-High Point-Winston Salem NC,53
Burlington VT-Plattsburgh NY,53
Ft. Smith-Fayetteville-Springdale-Rogers AR,53
Wichita-Hutchinson KS,52
Tampa-St. Petersburg (Sarasota) FL,52
Binghamton NY,52
Utica NY,52
Richmond-Petersburg VA,52
Atlanta GA,51
Des Moines-Ames IA,51
Salt Lake City UT,51
Honolulu HI,50
Amarillo TX,50
Charlotte NC,50
Gainesville FL,50
Champaign & Springfield-Decatur IL,50
Charlottesville VA,50
Kansas City MO,49
South Bend-Elkhart IN,49
Idaho Falls-Pocatello ID,49
Lincoln & Hastings-Kearney NE,49
Juneau AK,49
Harrisburg-Lancaster-Lebanon-York PA,49
Colorado Springs-Pueblo CO,48
Portland-Auburn ME,48
Indianapolis IN,48
Rochester MN-Mason City IA-Austin MN,48
Ottumwa IA-Kirksville MO,48
Lubbock TX,48
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,48
Milwaukee WI,47
Boise ID,47
Albany-Schenectady-Troy NY,47
Detroit MI,47
Oklahoma City OK,47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Victoria TX,47
Tulsa OK,47
Eugene OR,47
Madison WI,46
Grand Junction-Montrose CO,46
Syracuse NY,46
Anchorage AK,46
Chico-Redding CA,46
Salisbury MD,45
Spokane WA,45
Tyler-Longview(Lufkin & Nacogdoches) TX,45
Jacksonville FL,45
Sherman TX-Ada OK,44
Fairbanks AK,44
Louisville KY,44
Topeka KS,44
Columbus OH,44
Omaha NE,43
Nashville TN,43
Cincinnati OH,43
Buffalo NY,43
Corpus Christi TX,43
Abilene-Sweetwater TX,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Green Bay-Appleton WI,43
St. Louis MO,42
Roanoke-Lynchburg VA,42
Watertown NY,42
Columbia SC,42
Rochester NY,42
New Orleans LA,41
Medford-Klamath Falls OR,41
Tallahassee FL-Thomasville GA,41
Bend OR,41
Joplin MO-Pittsburg KS,41
Rockford IL,41
Lansing MI,41
Presque Isle ME,41
Lexington KY,41
Peoria-Bloomington IL,40
Bowling Green KY,40
Bangor ME,40
Beaumont-Port Arthur TX,40
St. Joseph MO,40
Greenwood-Greenville MS,40
Memphis TN,39
Wichita Falls TX & Lawton OK,39
Savannah GA,39
Wilkes Barre-Scranton PA,39
Meridian MS,39
San Angelo TX,39
Wausau-Rhinelander WI,39
Columbia-Jefferson City MO,38
Wilmington NC,38
Cleveland-Akron (Canton) OH,38
Fargo-Valley City ND,38
Minot-Bismarck-Dickinson(Williston) ND,38
La Crosse-Eau Claire WI,38
Huntsville-Decatur (Florence) AL,37
Jonesboro AR,37
Duluth MN-Superior WI,37
Little Rock-Pine Bluff AR,37
Dayton OH,37
Cheyenne WY-Scottsbluff NE,37
Sioux Falls(Mitchell) SD,37
Casper-Riverton WY,37
Butte-Bozeman MT,37
Pittsburgh PA,37
Knoxville TN,37
Norfolk-Portsmouth-Newport News VA,36
Erie PA,36
Helena MT,36
Marquette MI,36
Florence-Myrtle Beach SC,36
Ft. Wayne IN,36
Chattanooga TN,35
Davenport IA-Rock Island-Moline IL,35
Rapid City SD,35
Albany GA,34
Missoula MT,34
Johnstown-Altoona PA,34
Evansville IN,34
Columbus GA,34
Elmira NY,34
Mobile AL-Pensacola (Ft. Walton Beach) FL,34
Charleston SC,34
Jackson MS,33
Montgomery (Selma) AL,33
Shreveport LA,33
Quincy IL-Hannibal MO-Keokuk IA,33
Columbus-Tupelo-West Point MS,33
"Billings, MT",33
Baton Rouge LA,33
Panama City FL,33
Birmingham AL,32
Greenville-New Bern-Washington NC,32
Flint-Saginaw-Bay City MI,32
Jackson TN,32
Springfield MO,32
Dothan AL,32
Biloxi-Gulfport MS,31
Terre Haute IN,31
Toledo OH,31
Lake Charles LA,31
Traverse City-Cadillac MI,31
Lafayette LA,30
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,30
Alexandria LA,30
Macon GA,30
Augusta GA,30
North Platte NE,30
Youngstown OH,28
Great Falls MT,28
Lima OH,28
Monroe LA-El Dorado AR,28
Wheeling WV-Steubenville OH,27
Alpena MI,27
Parkersburg WV,27
Tri-Cities TN-VA,27
Charleston-Huntington WV,26
Clarksburg-Weston WV,26
Bluefield-Beckley-Oak Hill WV,25
Hattiesburg-Laurel MS,25
Zanesville OH,21
Glendive MT,
